Gender;Age;age_ed;education;Group;answers;q_1;q_2;q_3;q_4;q_5;q_6;q_1_p;q_2_p;q_3_p;q_4_p;q_5_p;q_6_p;t_1;t_2;t_3;t_4;t_5;t_6
Мужчина;20;13;неоконченное высшее;A;{1.0: ['a2', 'a3', 10003.0], 2.0: ['a2', 'a3', 12069.0], 5.0: ['a2', 'a2', 8253.0], 6.0: ['a2', 'a2', 8446.0], 3.0: ['a1', 'a1', 10883.0], 4.0: ['a1', 'a1', 12723.0]};a2;a2;a1;a1;a2;a2;0;0;1;1;1;1;10003;12069;10883;12723;8253;8446
Женщина;44;15;высшее;A;{3.0: ['a1', 'a1', 13516.0], 5.0: ['a1', 'a2', 11770.0], 4.0: ['a1', 'a1', 41505.0], 1.0: ['a1', 'a3', 15592.0], 6.0: ['a1', 'a2', 10440.0], 2.0: ['a1', 'a3', 21037.0]};a1;a1;a1;a1;a1;a1;0;0;1;1;0;0;15592;21037;13516;41505;11770;10440
Мужчина;18;13;неоконченное высшее;A;{3.0: ['a2', 'a1', 21917.0], 5.0: ['a2', 'a2', 14272.0], 2.0: ['a2', 'a3', 8427.0], 4.0: ['a3', 'a1', 24602.0], 6.0: ['a2', 'a2', 14660.0], 1.0: ['a3', 'a3', 13993.0]};a3;a2;a2;a3;a2;a2;1;0;0;0;1;1;13993;8427;21917;24602;14272;14660
Мужчина;19;13;неоконченное высшее;C;{4.0: ['a3', 'a2', 13120.0], 2.0: ['a3', 'a1', 8120.0], 1.0: ['a3', 'a3', 12224.0], 3.0: ['a3', 'a3', 8318.0], 5.0: ['a3', 'a1', 7527.0], 6.0: ['a3', 'a2', 6903.0]};a3;a3;a3;a3;a3;a3;1;0;1;0;0;0;12224;8120;8318;13120;7527;6903
Женщина;47;15;высшее;A;{2.0: ['a2', 'a3', 9559.0], 4.0: ['a1', 'a1', 9806.0], 3.0: ['a1', 'a1', 10721.0], 5.0: ['a2', 'a2', 7413.0], 6.0: ['a2', 'a2', 7423.0], 1.0: ['a2', 'a3', 8852.0]};a2;a2;a1;a1;a2;a2;0;0;1;1;1;1;8852;9559;10721;9806;7413;7423
Женщина;42;17;высшее;B;{1.0: ['a1', 'a3', 27282.0], 5.0: ['a2', 'a2', 12191.0], 3.0: ['a1', 'a1', 49990.0], 6.0: ['a2', 'a2', 19278.0], 4.0: ['a2', 'a1', 15198.0], 2.0: ['a2', 'a3', 10328.0]};a1;a2;a1;a2;a2;a2;0;0;1;0;1;1;27282;10328;49990;15198;12191;19278
Женщина;28;15;высшее;C;{3.0: ['a2', 'a3', 31157.0], 5.0: ['a3', 'a1', 44340.0], 4.0: ['a2', 'a2', 17587.0], 2.0: ['a3', 'a1', 57552.0], 1.0: ['a2', 'a3', 60742.0], 6.0: ['a2', 'a2', 20028.0]};a2;a3;a2;a2;a3;a2;0;0;0;1;0;1;60742;57552;31157;17587;44340;20028
Мужчина;20;;неоконченное высшее;D;{2.0: ['a1', 'a1', 15232.0], 5.0: ['a1', 'a1', 12536.0], 3.0: ['a3', 'a3', 15725.0], 1.0: ['a3', 'a3', 10085.0], 4.0: ['a2', 'a2', 19775.0], 6.0: ['a2', 'a2', 10332.0]};a3;a1;a3;a2;a1;a2;1;1;1;1;1;1;10085;15232;15725;19775;12536;10332
Мужчина;20;14;среднее;D;{6.0: ['a2', 'a2', 10350.0], 5.0: ['a2', 'a1', 8779.0], 1.0: ['a2', 'a3', 8638.0], 4.0: ['a2', 'a2', 9657.0], 2.0: ['a2', 'a1', 6594.0], 3.0: ['a2', 'a3', 9859.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;8638;6594;9859;9657;8779;10350
Мужчина;21;14;неоконечнное высшее;A;{2.0: ['a2', 'a3', 12432.0], 3.0: ['a2', 'a1', 9632.0], 6.0: ['a2', 'a2', 8201.0], 4.0: ['a2', 'a1', 10867.0], 5.0: ['a2', 'a2', 8498.0], 1.0: ['a2', 'a3', 7716.0]};a2;a2;a2;a2;a2;a2;0;0;0;0;1;1;7716;12432;9632;10867;8498;8201
